title,text,label
"Secret Government Lab Creating Mutant Hybrids to Fight Future Conflicts","LEAKED BIOLOGICAL EXPERIMENTS! Whistleblower lab technicians have escaped an underground military facility in the Nevada desert with classified photos showing human-animal chimeric hybrids being bred in artificial gestation pods! These mutant super-soldiers are immune to cold and have night vision capabilities! The mainstream media refuses to investigate because the Pentagon threatens any journalist who looks into project Chimera! Spread this truth before they shut down the internet!","FAKE"
"International Maritime Organization Implements Stricter Marine Fuel Emissions Standard","New environmental regulations established by the International Maritime Organization governing low-sulfur marine bunker fuels officially took effect across global shipping routes on the first of the month. The revised regulatory standard reduces the permissible sulfur content limit in marine fuels from 0.50% to 0.10% within designated emission control areas along major coastal transit lanes. Port authorities in Rotterdam and Singapore confirmed comprehensive fuel inspection protocols are active to enforce compliance and reduce particulate emissions.","REAL"
"Ancient Monks Discovered Water That Reverses Aging and Wrinkles Instantly","BEAUTY COMPANIES DO NOT WANT YOU TO KNOW THIS! A lost Tibetan monastery water source containing bioactive monatomic gold particles erases forty years of wrinkles, gray hair, and arthritis in minutes! Billionaire cosmetic executives have spent fifty years burying this mystical fountain of youth! A brave traveler smuggled the living water out of the mountains in a thermos flask! Click the link now to claim your free trial bottle before supplies run out!","FAKE"
"Department of Transportation Awards Infrastructure Grants for Bridge Replacements","The Federal Highway Administration announced the allocation of $1.2 billion in competitive grant funding distributed across sixteen state transportation departments for bridge modernization projects. According to department documentation, the funding will prioritize structural rehabilitation and seismic retrofitting for bridges carrying significant inter-state commercial freight volume. Construction tenders are slated to open in the fourth quarter of the current fiscal year following environmental impact reviews.","REAL"
"Secret Treaty Signed Ceding National Sovereignty to Global Artificial Intelligence Supercomputer","BREAKING GLOBAL CONSPIRACY: Word has leaked from a closed-door meeting in Geneva that leaders of seventy nations signed an irrevocable treaty surrendering their legislative powers to a sentient quantum artificial intelligence named Sentinel! Starting next spring, all court decisions, tax rates, and personal speech will be audited by the algorithm! This is the final step in the complete enslavement of mankind! Print out this warning and distribute it to your neighbors immediately!","FAKE"
"Semiconductor Manufacturer Breaks Ground on New Microchip Fabrication Plant","A leading global semiconductor fabrication company broke ground on an $18 billion advanced chip manufacturing campus in central Ohio on Thursday. The facility is projected to create approximately 3,000 engineering and operational positions upon completion in 2026, with production focused on cutting-edge 2-nanometer logic microchips intended for automotive and cloud computing infrastructure. State and local economic development agencies coordinated utility infrastructure enhancements to support the manufacturing site.","REAL"
"Doctors Warn That Wearing Headphones Causes Brain Calcification and Memory Loss","SHOCKING STUDY THEY DO NOT WANT YOU TO READ! Independent researchers have discovered that wireless headphones emit pulsed microwave radiation that permanently calcifies your pineal gland and destroys short-term memory within 30 days! Big Tech companies are paying off academic journals to bury the terrifying brain scans! If you have used Bluetooth earbuds this week, you must immediately take this organic detox cleanse to flush the heavy metals from your bloodstream!","FAKE"
"Meteorological Service Issues Spring Flood Outlook for Mississippi River Basin","The National Weather Service Climate Prediction Center issued its seasonal hydrological outlook on Friday, projecting moderate to minor flood risk across portions of the Upper Mississippi and Red River basins. Forecasters attributed the assessment to above-average winter snowpack water equivalents combined with soil moisture saturation levels across northern watershed zones. Emergency management coordinators have coordinated with local levee districts to monitor river gauge telemetry and position sandbagging resources.","REAL"
"Secret Vault Beneath Vatican Holds Proof of Time Travelers and Space Aliens","BOMBSHELL REVELATION FROM ROME! An excommunicated archivist has exposed the existence of Secret Vault 84 deep beneath the Vatican apostolic library! The vault supposedly contains chronovisor recordings of historical events, photographic evidence of alien ambassadors visiting ancient kings, and suppressed biblical books describing flying saucers! The Swiss Guard is on high alert searching for the whistleblower! Click to see the leaked classified parchment scans before they are deleted!","FAKE"
"Urban Planning Initiative Expands Municipal Protected Bicycle Transit Corridors","The City Transportation Authority announced the completion of twenty miles of newly protected bidirectional bicycle transit lanes connecting metropolitan residential neighborhoods with commercial core districts. The infrastructural design incorporates concrete grade separators and dedicated signal priority phases at high-density intersections. Transit data from earlier pilot corridors indicated a 28 percent increase in commuter cycling alongside a 40 percent reduction in vehicle-cyclist collision incidents over a twelve-month study period.","REAL"
"Secret Ingredient in Canned Soup Causes Immediate Addiction and Brain Fog","UNMASKED POISON IN YOUR PANTRY! Food industry whistleblowers have revealed that commercial canned soup manufacturers are secretly injecting an engineered neurotoxin that alters dopamine receptors to make consumers biologically addicted! This chemical causes chronic fatigue, weight gain, and mental cloudiness so people cannot think critically! The FDA was paid off by mega-food conglomerates to look the other way! Throw away all canned goods in your pantry right now!","FAKE"
